GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
backend,com.datashare.backend.model,User,8,5,0,0,4,2,4,2,4,2
backend,com.datashare.backend.service,FileValidationService,329,649,135,40,39,57,89,23,0,8
backend,com.datashare.backend.service,AuthService,0,101,0,2,0,20,0,4,0,3
backend,com.datashare.backend.service,FileMetadataService,28,378,14,34,1,90,18,19,4,9
backend,com.datashare.backend.service,FileStorageService,30,136,1,9,8,27,1,9,0,5
backend,com.datashare.backend.service,StoredFile,0,9,0,0,0,1,0,1,0,1
backend,com.datashare.backend.exception,UnauthorizedException,0,5,0,0,0,2,0,1,0,1
backend,com.datashare.backend.exception,GlobalExceptionHandler,119,91,0,0,25,16,4,4,4,4
backend,com.datashare.backend.exception,AppException,0,10,0,0,0,4,0,2,0,2
backend,com.datashare.backend.exception,ResourceNotFoundException,0,5,0,0,0,2,0,1,0,1
backend,com.datashare.backend.security,SecurityConfiguration,10,228,3,5,2,34,3,7,0,6
backend,com.datashare.backend.security,JwtAuthenticationFilter,6,64,4,6,3,16,4,2,0,1
backend,com.datashare.backend.security,ApplicationSecurityConfig,6,31,0,0,0,7,1,5,1,5
backend,com.datashare.backend.security,JwtService,1,102,2,2,0,24,2,11,0,11
backend,com.datashare.backend,BackendApplication,5,3,0,0,2,1,1,1,1,1
backend,com.datashare.backend.dto,RegisterRequest,0,15,0,0,0,1,0,1,0,1
backend,com.datashare.backend.dto,FileResponse,0,30,0,0,0,1,0,1,0,1
backend,com.datashare.backend.dto,AuthResponse,0,15,0,0,0,1,0,1,0,1
backend,com.datashare.backend.dto,LoginRequest,0,9,0,0,0,1,0,1,0,1
backend,com.datashare.backend.controller,AuthController,0,12,0,0,0,2,0,2,0,2
backend,com.datashare.backend.controller,FileController,8,107,6,6,3,25,5,6,0,5
